id,x,y,z,cluster_id
0,-13.000000,-13.000000,-7.000000,0
1,11.000000,-13.000000,5.000000,1
2,-13.000000,11.000000,5.000000,2
3,11.000000,11.000000,-7.000000,3
4,-12.260000,-11.895833,-5.613636,0
5,11.740000,-11.895833,6.386364,1
6,-12.260000,12.104167,6.386364,2
7,11.740000,12.104167,-5.613636,3
8,-11.520000,-12.812500,-6.250000,0
9,12.480000,-12.812500,5.750000,1
10,-11.520000,11.187500,5.750000,2
11,12.480000,11.187500,-6.250000,3
12,-12.800000,-11.708333,-6.886364,0
13,11.200000,-11.708333,5.113636,1
14,-12.800000,12.291667,5.113636,2
15,11.200000,12.291667,-6.886364,3
16,-12.060000,-12.625000,-5.500000,0
17,11.940000,-12.625000,6.500000,1
18,-12.060000,11.375000,6.500000,2
19,11.940000,11.375000,-5.500000,3
20,-11.320000,-11.520833,-6.136364,0
21,12.680000,-11.520833,5.863636,1
22,-11.320000,12.479167,5.863636,2
23,12.680000,12.479167,-6.136364,3
24,-12.600000,-12.437500,-6.772727,0
25,11.400000,-12.437500,5.227273,1
26,-12.600000,11.562500,5.227273,2
27,11.400000,11.562500,-6.772727,3
28,-11.860000,-11.333333,-5.386364,0
29,12.140000,-11.333333,6.613636,1
30,-11.860000,12.666667,6.613636,2
31,12.140000,12.666667,-5.386364,3
32,-11.120000,-12.250000,-6.022727,0
33,12.880000,-12.250000,5.977273,1
34,-11.120000,11.750000,5.977273,2
35,12.880000,11.750000,-6.022727,3
36,-12.400000,-11.145833,-6.659091,0
37,11.600000,-11.145833,5.340909,1
38,-12.400000,12.854167,5.340909,2
39,11.600000,12.854167,-6.659091,3
40,-11.660000,-12.062500,-5.272727,0
41,12.340000,-12.062500,6.727273,1
42,-11.660000,11.937500,6.727273,2
43,12.340000,11.937500,-5.272727,3
44,-12.940000,-12.979167,-5.909091,0
45,11.060000,-12.979167,6.090909,1
46,-12.940000,11.020833,6.090909,2
47,11.060000,11.020833,-5.909091,3
48,-12.200000,-11.875000,-6.545455,0
49,11.800000,-11.875000,5.454545,1
50,-12.200000,12.125000,5.454545,2
51,11.800000,12.125000,-6.545455,3
52,-11.460000,-12.791667,-5.159091,0
53,12.540000,-12.791667,6.840909,1
54,-11.460000,11.208333,6.840909,2
55,12.540000,11.208333,-5.159091,3
56,-12.740000,-11.687500,-5.795455,0
57,11.260000,-11.687500,6.204545,1
58,-12.740000,12.312500,6.204545,2
59,11.260000,12.312500,-5.795455,3
60,-12.000000,-12.604167,-6.431818,0
61,12.000000,-12.604167,5.568182,1
62,-12.000000,11.395833,5.568182,2
63,12.000000,11.395833,-6.431818,3
64,-11.260000,-11.500000,-5.045455,0
65,12.740000,-11.500000,6.954545,1
66,-11.260000,12.500000,6.954545,2
67,12.740000,12.500000,-5.045455,3
68,-12.540000,-12.416667,-5.681818,0
69,11.460000,-12.416667,6.318182,1
70,-12.540000,11.583333,6.318182,2
71,11.460000,11.583333,-5.681818,3
72,-11.800000,-11.312500,-6.318182,0
73,12.200000,-11.312500,5.681818,1
74,-11.800000,12.687500,5.681818,2
75,12.200000,12.687500,-6.318182,3
76,-11.060000,-12.229167,-6.954545,0
77,12.940000,-12.229167,5.045455,1
78,-11.060000,11.770833,5.045455,2
79,12.940000,11.770833,-6.954545,3
80,-12.340000,-11.125000,-5.568182,0
81,11.660000,-11.125000,6.431818,1
82,-12.340000,12.875000,6.431818,2
83,11.660000,12.875000,-5.568182,3
84,-11.600000,-12.041667,-6.204545,0
85,12.400000,-12.041667,5.795455,1
86,-11.600000,11.958333,5.795455,2
87,12.400000,11.958333,-6.204545,3
88,-12.880000,-12.958333,-6.840909,0
89,11.120000,-12.958333,5.159091,1
90,-12.880000,11.041667,5.159091,2
91,11.120000,11.041667,-6.840909,3
92,-12.140000,-11.854167,-5.454545,0
93,11.860000,-11.854167,6.545455,1
94,-12.140000,12.145833,6.545455,2
95,11.860000,12.145833,-5.454545,3
96,-11.400000,-12.770833,-6.090909,0
97,12.600000,-12.770833,5.909091,1
98,-11.400000,11.229167,5.909091,2
99,12.600000,11.229167,-6.090909,3
100,-12.680000,-11.666667,-6.727273,0
101,11.320000,-11.666667,5.272727,1
102,-12.680000,12.333333,5.272727,2
103,11.320000,12.333333,-6.727273,3
104,-11.940000,-12.583333,-5.340909,0
105,12.060000,-12.583333,6.659091,1
106,-11.940000,11.416667,6.659091,2
107,12.060000,11.416667,-5.340909,3
108,-11.200000,-11.479167,-5.977273,0
109,12.800000,-11.479167,6.022727,1
110,-11.200000,12.520833,6.022727,2
111,12.800000,12.520833,-5.977273,3
112,-12.480000,-12.395833,-6.613636,0
113,11.520000,-12.395833,5.386364,1
114,-12.480000,11.604167,5.386364,2
115,11.520000,11.604167,-6.613636,3
116,-11.740000,-11.291667,-5.227273,0
117,12.260000,-11.291667,6.772727,1
118,-11.740000,12.708333,6.772727,2
119,12.260000,12.708333,-5.227273,3
120,-11.000000,-12.208333,-5.863636,0
121,13.000000,-12.208333,6.136364,1
122,-11.000000,11.791667,6.136364,2
123,13.000000,11.791667,-5.863636,3
124,-12.280000,-11.104167,-6.500000,0
125,11.720000,-11.104167,5.500000,1
126,-12.280000,12.895833,5.500000,2
127,11.720000,12.895833,-6.500000,3
128,-11.540000,-12.020833,-5.113636,0
129,12.460000,-12.020833,6.886364,1
130,-11.540000,11.979167,6.886364,2
131,12.460000,11.979167,-5.113636,3
132,-12.820000,-12.937500,-5.750000,0
133,11.180000,-12.937500,6.250000,1
134,-12.820000,11.062500,6.250000,2
135,11.180000,11.062500,-5.750000,3
136,-12.080000,-11.833333,-6.386364,0
137,11.920000,-11.833333,5.613636,1
138,-12.080000,12.166667,5.613636,2
139,11.920000,12.166667,-6.386364,3
140,-11.340000,-12.750000,-5.000000,0
141,12.660000,-12.750000,7.000000,1
142,-11.340000,11.250000,7.000000,2
143,12.660000,11.250000,-5.000000,3
144,-12.620000,-11.645833,-5.636364,0
145,11.380000,-11.645833,6.363636,1
146,-12.620000,12.354167,6.363636,2
147,11.380000,12.354167,-5.636364,3
148,-11.880000,-12.562500,-6.272727,0
149,12.120000,-12.562500,5.727273,1
150,-11.880000,11.437500,5.727273,2
151,12.120000,11.437500,-6.272727,3
152,-11.140000,-11.458333,-6.909091,0
153,12.860000,-11.458333,5.090909,1
154,-11.140000,12.541667,5.090909,2
155,12.860000,12.541667,-6.909091,3
156,-12.420000,-12.375000,-5.522727,0
157,11.580000,-12.375000,6.477273,1
158,-12.420000,11.625000,6.477273,2
159,11.580000,11.625000,-5.522727,3
160,-11.680000,-11.270833,-6.159091,0
161,12.320000,-11.270833,5.840909,1
162,-11.680000,12.729167,5.840909,2
163,12.320000,12.729167,-6.159091,3
164,-12.960000,-12.187500,-6.795455,0
165,11.040000,-12.187500,5.204545,1
166,-12.960000,11.812500,5.204545,2
167,11.040000,11.812500,-6.795455,3
168,-12.220000,-11.083333,-5.409091,0
169,11.780000,-11.083333,6.590909,1
170,-12.220000,12.916667,6.590909,2
171,11.780000,12.916667,-5.409091,3
172,-11.480000,-12.000000,-6.045455,0
173,12.520000,-12.000000,5.954545,1
174,-11.480000,12.000000,5.954545,2
175,12.520000,12.000000,-6.045455,3
176,-12.760000,-12.916667,-6.681818,0
177,11.240000,-12.916667,5.318182,1
178,-12.760000,11.083333,5.318182,2
179,11.240000,11.083333,-6.681818,3
180,-12.020000,-11.812500,-5.295455,0
181,11.980000,-11.812500,6.704545,1
182,-12.020000,12.187500,6.704545,2
183,11.980000,12.187500,-5.295455,3
184,-11.280000,-12.729167,-5.931818,0
185,12.720000,-12.729167,6.068182,1
186,-11.280000,11.270833,6.068182,2
187,12.720000,11.270833,-5.931818,3
188,-12.560000,-11.625000,-6.568182,0
189,11.440000,-11.625000,5.431818,1
190,-12.560000,12.375000,5.431818,2
191,11.440000,12.375000,-6.568182,3
192,-11.820000,-12.541667,-5.181818,0
193,12.180000,-12.541667,6.818182,1
194,-11.820000,11.458333,6.818182,2
195,12.180000,11.458333,-5.181818,3
196,-11.080000,-11.437500,-5.818182,0
197,12.920000,-11.437500,6.181818,1
198,-11.080000,12.562500,6.181818,2
199,12.920000,12.562500,-5.818182,3
200,-12.360000,-12.354167,-6.454545,0
201,11.640000,-12.354167,5.545455,1
202,-12.360000,11.645833,5.545455,2
203,11.640000,11.645833,-6.454545,3
204,-11.620000,-11.250000,-5.068182,0
205,12.380000,-11.250000,6.931818,1
206,-11.620000,12.750000,6.931818,2
207,12.380000,12.750000,-5.068182,3
208,-12.900000,-12.166667,-5.704545,0
209,11.100000,-12.166667,6.295455,1
210,-12.900000,11.833333,6.295455,2
211,11.100000,11.833333,-5.704545,3
212,-12.160000,-11.062500,-6.340909,0
213,11.840000,-11.062500,5.659091,1
214,-12.160000,12.937500,5.659091,2
215,11.840000,12.937500,-6.340909,3
216,-11.420000,-11.979167,-6.977273,0
217,12.580000,-11.979167,5.022727,1
218,-11.420000,12.020833,5.022727,2
219,12.580000,12.020833,-6.977273,3
220,-12.700000,-12.895833,-5.590909,0
221,11.300000,-12.895833,6.409091,1
222,-12.700000,11.104167,6.409091,2
223,11.300000,11.104167,-5.590909,3
224,-11.960000,-11.791667,-6.227273,0
225,12.040000,-11.791667,5.772727,1
226,-11.960000,12.208333,5.772727,2
227,12.040000,12.208333,-6.227273,3
228,-11.220000,-12.708333,-6.863636,0
229,12.780000,-12.708333,5.136364,1
230,-11.220000,11.291667,5.136364,2
231,12.780000,11.291667,-6.863636,3
232,-12.500000,-11.604167,-5.477273,0
233,11.500000,-11.604167,6.522727,1
234,-12.500000,12.395833,6.522727,2
235,11.500000,12.395833,-5.477273,3
236,-11.760000,-12.520833,-6.113636,0
237,12.240000,-12.520833,5.886364,1
238,-11.760000,11.479167,5.886364,2
239,12.240000,11.479167,-6.113636,3
240,-11.020000,-11.416667,-6.750000,0
241,12.980000,-11.416667,5.250000,1
242,-11.020000,12.583333,5.250000,2
243,12.980000,12.583333,-6.750000,3
244,-12.300000,-12.333333,-5.363636,0
245,11.700000,-12.333333,6.636364,1
246,-12.300000,11.666667,6.636364,2
247,11.700000,11.666667,-5.363636,3
248,-11.560000,-11.229167,-6.000000,0
249,12.440000,-11.229167,6.000000,1
250,-11.560000,12.770833,6.000000,2
251,12.440000,12.770833,-6.000000,3
252,-12.840000,-12.145833,-6.636364,0
253,11.160000,-12.145833,5.363636,1
254,-12.840000,11.854167,5.363636,2
255,11.160000,11.854167,-6.636364,3
256,-12.100000,-11.041667,-5.250000,0
257,11.900000,-11.041667,6.750000,1
258,-12.100000,12.958333,6.750000,2
259,11.900000,12.958333,-5.250000,3
260,-11.360000,-11.958333,-5.886364,0
261,12.640000,-11.958333,6.113636,1
262,-11.360000,12.041667,6.113636,2
263,12.640000,12.041667,-5.886364,3
264,-12.640000,-12.875000,-6.522727,0
265,11.360000,-12.875000,5.477273,1
266,-12.640000,11.125000,5.477273,2
267,11.360000,11.125000,-6.522727,3
268,-11.900000,-11.770833,-5.136364,0
269,12.100000,-11.770833,6.863636,1
270,-11.900000,12.229167,6.863636,2
271,12.100000,12.229167,-5.136364,3
272,-11.160000,-12.687500,-5.772727,0
273,12.840000,-12.687500,6.227273,1
274,-11.160000,11.312500,6.227273,2
275,12.840000,11.312500,-5.772727,3
276,-12.440000,-11.583333,-6.409091,0
277,11.560000,-11.583333,5.590909,1
278,-12.440000,12.416667,5.590909,2
279,11.560000,12.416667,-6.409091,3
280,-11.700000,-12.500000,-5.022727,0
281,12.300000,-12.500000,6.977273,1
